"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"7352","noroBE",2,4,"naive",357,6.55727729450174,17.8813894745595,3,9,1,17,6,2.3251276106303,2.97115679218771
"7353","noroBE",3,1,"naive",357,7.61882731664195,22.9062165885828,4,10,1,19,16,4.1264144419378,2.76588870175518
"7354","noroBE",3,2,"naive",357,9.18483863594146,31.4025911859758,5,12,1,23,12,3.00553355838397,3.1576983156519
"7355","noroBE",3,3,"naive",357,9.41137564436726,32.7386114872733,5,13,1,23,18,4.01417717908897,3.1232159603441
"7356","noroBE",3,4,"naive",357,9.91532484849723,35.8076444095664,6,13,1,24,20,4.27161661409213,2.97115679218771
"7357","noroBE",4,1,"naive",357,6.4108010281993,17.234648403464,3,9,1,16,8,2.61543582824476,2.76588870175518
"7358","noroBE",4,2,"naive",357,7.72850866989999,23.4592235974226,4,10,1,19,15,3.84847843201445,3.1576983156519
"7359","noroBE",4,3,"naive",357,7.9191264154117,24.4353827858732,4,11,1,20,17,4.26128636528137,3.1232159603441
"7360","noroBE",4,4,"naive",357,8.34317042398763,26.675569117791,5,11,1,21,10,2.78588730453151,2.97115679218771
"7361","noroBE",5,1,"naive",357,6.73272563366154,18.6709269323733,4,9,1,17,1,2.98592105355364,2.76588870175518
"7362","noroBE",5,2,"naive",357,8.11660324551153,25.4668517169173,4,11,1,20,4,2.47886065370989,3.1576983156519
"7363","noroBE",5,3,"naive",357,8.3167930464104,26.5334572708428,5,11,1,21,10,2.78754308252048,3.1232159603441
"7364","noroBE",5,4,"naive",357,8.76213083708297,28.9819157533974,5,12,1,22,7,2.50108234926493,2.97115679218771
"7365","noroBE",6,1,"naive",357,6.91675814413994,19.5165173143339,4,9,1,18,5,2.28432958728581,2.76588870175518
"7366","noroBE",6,2,"naive",357,8.3384627052763,26.6501787513383,5,11,1,21,14,3.47410663632906,3.1576983156519
"7367","noroBE",6,3,"naive",357,8.54412449978314,27.7702689053817,5,11,1,21,14,3.43207838316124,3.1232159603441
"7368","noroBE",6,4,"naive",357,9.00163516606179,30.3419036071856,5,12,1,22,6,2.50050839163383,2.97115679218771
"7369","noroBE",7,1,"naive",357,12.3508595556192,52.5254474469746,7,16,2,30,14,3.05806158103335,2.76588870175518
"7370","noroBE",7,2,"naive",357,14.8895161051554,73.276794448884,9,20,3,35,19,3.40919024253791,3.1576983156519
"7371","noroBE",7,3,"naive",357,15.2567546129905,76.559706344148,9,20,3,36,22,3.68104232457156,3.1232159603441
"7372","noroBE",7,4,"naive",357,16.0737052518086,84.1175843873055,9,21,3,38,21,3.52410692517522,2.97115679218771
"7373","noroBE",8,1,"naive",357,8.50114791901488,27.5343653871319,5,11,1,21,5,2.46634196140881,2.76588870175518
"7374","noroBE",8,2,"naive",357,10.2485157638192,37.9102249291493,6,14,1,25,3,3.04455576241435,3.1576983156519
"7375","noroBE",8,3,"naive",357,10.5012875537182,39.5443337423181,6,14,2,26,8,2.64276885207535,3.1232159603441
"7376","noroBE",8,4,"naive",357,11.0635980708001,43.3002435956408,6,15,2,27,4,2.9632581321913,2.97115679218771
"7377","noroBE",9,1,"naive",357,6.24794364649397,16.5288468788536,3,8,1,16,2,2.43452299666597,2.76588870175518
"7378","noroBE",9,2,"naive",357,7.53217677924694,22.4738100394573,4,10,1,19,11,3.03621876453742,3.1576983156519
